tweet_id,text,expanded_urls,rating_out_of_10,name,source_name,source_location,time,date,stage,favorite_count,retweet_count
892420643555336193,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13,Phineas,Twitter for iPhone,http://twitter.com/download/iphone,16:23:56,2017-08-01,Not recorded,34636,7232
892177421306343426,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,Tilly,Twitter for iPhone,http://twitter.com/download/iphone,00:17:27,2017-08-01,Not recorded,30021,5419
891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,Archie,Twitter for iPhone,http://twitter.com/download/iphone,00:18:03,2017-07-31,Not recorded,22599,3579
891689557279858688,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13,Darla,Twitter for iPhone,http://twitter.com/download/iphone,15:58:51,2017-07-30,Not recorded,37886,7435
891327558926688256,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f","https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12,Franklin,Twitter for iPhone,http://twitter.com/download/iphone,16:00:24,2017-07-29,Not recorded,36162,7988
891087950875897856,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13,None,Twitter for iPhone,http://twitter.com/download/iphone,00:08:17,2017-07-29,Not recorded,18243,2679
890971913173991426,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl","https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13,Jax,Twitter for iPhone,http://twitter.com/download/iphone,16:27:12,2017-07-28,Not recorded,10621,1726
890729181411237888,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13,None,Twitter for iPhone,http://twitter.com/download/iphone,00:22:40,2017-07-28,Not recorded,58288,16274
890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,Zoey,Twitter for iPhone,http://twitter.com/download/iphone,16:25:51,2017-07-27,Not recorded,25127,3724
890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,Cassie,Twitter for iPhone,http://twitter.com/download/iphone,15:59:51,2017-07-26,doggo,28642,6285
